iter	RMSE
643	69396.43367
644	69310.61041
645	69212.37914
646	69092.20339
647	68990.23354
648	68853.62049
649	68754.59262
650	68613.6515
651	68489.5198
652	68396.13095
653	68311.60277
654	68245.27823
655	68106.47967
656	68025.81119
657	67923.73216
658	67821.16776
659	67756.79092
660	67639.29042
661	67561.94852
662	67455.04731
663	67393.19087
664	67277.81001
665	67170.75637
666	67072.05427
667	66998.84722
668	66923.454
669	66917.69178
670	66767.50058
671	66673.53069
672	66586.92018
673	66499.94393
674	66423.099
675	66341.73929
676	66287.74453
677	66191.66605
678	66187.12807
679	66096.08286
680	66004.96091
681	65958.05549
682	65837.40189
683	65748.05795
684	65661.89899
685	65612.68826
686	65581.36218
687	65489.94218
688	65392.04678
689	65348.49726
690	65246.07438
691	65189.61699
692	65109.20206
693	65024.79594
694	64958.38234
695	64824.73029
696	64743.23
697	64680.17209
698	64598.31978
699	64553.66666
700	64479.77164
701	64356.03314
702	64300.43412
703	64168.27009
704	64099.62907
705	64012.48221
706	63940.45093
707	63864.96142
708	63771.72952
709	63686.20207
710	63622.1406
711	63560.57052
712	63501.52865
713	63398.63244
714	63303.18743
715	63238.10168
716	63165.49908
717	63148.3301
718	63094.0641
719	63044.43383
720	62960.35008
721	62913.74673
722	62845.51093
723	62777.00807
724	62714.59577
725	62706.78023
726	62633.47752
727	62544.34459
728	62541.12604
729	62430.62686
730	62362.51618
731	62299.21108
732	62227.42312
733	62142.05985
734	62050.81204
735	61940.3655
736	61885.48687
737	61757.462
738	61685.4105
739	61604.03819
740	61598.35181
741	61478.81555
742	61428.54054
743	61363.14203
744	61282.91094
745	61215.15434
746	61110.22033
747	61012.76459
748	61009.37162
749	60920.25208
750	60817.00407
751	60762.53629
752	60759.22401
753	60756.35204
754	60698.18238
755	60636.26156
756	60583.59404
757	60484.75974
758	60455.20645
759	60389.93104
760	60386.56521
761	60318.99145
762	60270.8962
763	60176.20684
764	60143.37497
765	60015.93676
766	59963.23377
767	59909.06084
768	59857.23558
769	59854.51409
770	59812.27965
771	59756.64422
772	59741.96778
773	59658.37362
774	59571.60596
775	59499.80069
776	59429.85298
777	59378.54311
778	59305.6206
779	59235.76021
780	59136.46282
781	59058.52355
782	58995.18308
783	58911.24376
784	58855.29883
785	58852.27831
786	58816.72112
787	58727.40305
788	58645.08995
789	58605.08003
790	58556.04513
791	58473.34137
792	58395.9643
793	58393.20122
794	58322.41719
795	58244.33325
796	58240.9366
797	58133.00731
798	58073.37072
799	58013.97494
800	57944.55427
801	57823.37563
802	57778.87873
803	57733.47251
804	57684.74961
805	57609.82467
806	57565.47111
807	57465.45517
808	57388.78051
809	57322.14445
810	57247.62099
811	57171.33015
812	57115.53526
813	57078.34489
814	57036.94465
815	56996.61156
816	56933.56513
817	56873.00281
818	56720.36334
819	56717.86577
820	56662.45165
821	56608.06894
822	56605.75403
823	56552.13186
824	56474.34311
825	56394.88464
826	56342.27703
827	56299.12869
828	56246.27354
829	56243.9545
830	56161.5392
831	56081.71902
832	56007.02206
833	55941.45758
834	55861.52029
835	55795.60738
836	55744.37343
837	55661.84084
838	55616.97244
839	55530.58774
840	55470.68224
841	55391.44212
842	55389.16542
843	55386.81282
844	55324.27315
845	55267.56812
846	55173.35458
847	55112.39491
848	55070.49728
849	55020.13189
850	54955.89783
851	54888.92384
852	54886.62788
853	54807.66739
854	54718.94966
